Ticker	Name	Sector	Asset Class	Market Value	Weight (%)	Notional Value	Shares	Price	Location	Exchange	FX Rate	Market Currency	Accrual Date
CME	CME GROUP INC CLASS A	Financials	Equity	"785,915,534.20"	0.18	"785,915,534.20"	"3,697,730.00"	212.54	United States	NASDAQ	1	USD	-
DUK	DUKE ENERGY CORP	Utilities	Equity	"784,266,896.64"	0.18	"784,266,896.64"	"7,919,488.00"	99.03	United States	New York Stock Exchange Inc.	1	USD	-
TGT	TARGET CORP	Consumer Staples	Equity	"779,780,564.28"	0.18	"779,780,564.28"	"4,742,037.00"	164.44	United States	New York Stock Exchange Inc.	1	USD	-
ICE	INTERCONTINENTAL EXCHANGE INC	Financials	Equity	"775,328,198.58"	0.18	"775,328,198.58"	"5,881,719.00"	131.82	United States	New York Stock Exchange Inc.	1	USD	-
CDNS	CADENCE DESIGN SYSTEMS INC	Information Technology	Equity	"774,308,095.32"	0.18	"774,308,095.32"	"2,794,529.00"	277.08	United States	NASDAQ	1	USD	-
CL	COLGATE-PALMOLIVE	Consumer Staples	Equity	"755,164,281.86"	0.17	"755,164,281.86"	"8,457,434.00"	89.29	United States	New York Stock Exchange Inc.	1	USD	-
MPC	MARATHON PETROLEUM CORP	Energy	Equity	"754,142,014.21"	0.17	"754,142,014.21"	"3,779,971.00"	199.51	United States	New York Stock Exchange Inc.	1	USD	-
SHW	SHERWIN WILLIAMS	Materials	Equity	"737,292,411.79"	0.17	"737,292,411.79"	"2,418,859.00"	304.81	United States	New York Stock Exchange Inc.	1	USD	-
APH	AMPHENOL CORP CLASS A	Information Technology	Equity	"733,285,351.44"	0.17	"733,285,351.44"	"6,161,544.00"	119.01	United States	New York Stock Exchange Inc.	1	USD	-
ABNB	AIRBNB INC CLASS A	Consumer Discretionary	Equity	"729,293,536.19"	0.17	"729,293,536.19"	"4,473,919.00"	163.01	United States	NASDAQ	1	USD	-
MCK	MCKESSON CORP	Health Care	Equity	"728,798,593.38"	0.17	"728,798,593.38"	"1,349,777.00"	539.94	United States	New York Stock Exchange Inc.	1	USD	-
FCX	FREEPORT MCMORAN INC	Materials	Equity	"727,630,729.80"	0.17	"727,630,729.80"	"14,729,367.00"	49.4	United States	New York Stock Exchange Inc.	1	USD	-
SLB	SCHLUMBERGER NV	Energy	Equity	"724,877,315.52"	0.17	"724,877,315.52"	"14,661,758.00"	49.44	United States	New York Stock Exchange Inc.	1	USD	-
PH	PARKER-HANNIFIN CORP	Industrials	Equity	"724,647,602.64"	0.17	"724,647,602.64"	"1,319,028.00"	549.38	United States	New York Stock Exchange Inc.	1	USD	-
ZTS	ZOETIS INC CLASS A	Health Care	Equity	"723,230,117.28"	0.17	"723,230,117.28"	"4,715,898.00"	153.36	United States	New York Stock Exchange Inc.	1	USD	-
TDG	TRANSDIGM GROUP INC	Industrials	Equity	"717,714,515.70"	0.16	"717,714,515.70"	"571,165.00"	"1,256.58"	United States	New York Stock Exchange Inc.	1	USD	-
EQIX	EQUINIX REIT INC	Real Estate	Equity	"712,016,747.25"	0.16	"712,016,747.25"	"964,335.00"	738.35	United States	NASDAQ	1	USD	-
NOC	NORTHROP GRUMMAN CORP	Industrials	Equity	"707,029,095.12"	0.16	"707,029,095.12"	"1,448,652.00"	488.06	United States	New York Stock Exchange Inc.	1	USD	-
PYPL	PAYPAL HOLDINGS INC	Financials	Equity	"705,651,772.80"	0.16	"705,651,772.80"	"11,008,608.00"	64.1	United States	NASDAQ	1	USD	-
TT	TRANE TECHNOLOGIES PLC	Industrials	Equity	"699,754,024.14"	0.16	"699,754,024.14"	"2,337,422.00"	299.37	United States	New York Stock Exchange Inc.	1	USD	-
PSX	PHILLIPS	Energy	Equity	"694,499,990.60"	0.16	"694,499,990.60"	"4,416,815.00"	157.24	United States	New York Stock Exchange Inc.	1	USD	-
ITW	ILLINOIS TOOL INC	Industrials	Equity	"693,097,975.68"	0.16	"693,097,975.68"	"2,792,948.00"	248.16	United States	New York Stock Exchange Inc.	1	USD	-
CSX	CSX CORP	Industrials	Equity	"690,748,426.60"	0.16	"690,748,426.60"	"20,298,220.00"	34.03	United States	NASDAQ	1	USD	-
ANET	ARISTA NETWORKS INC	Information Technology	Equity	"685,295,782.16"	0.16	"685,295,782.16"	"2,588,366.00"	264.76	United States	New York Stock Exchange Inc.	1	USD	-
BDX	BECTON DICKINSON	Health Care	Equity	"683,950,321.92"	0.16	"683,950,321.92"	"2,967,504.00"	230.48	United States	New York Stock Exchange Inc.	1	USD	-
GD	GENERAL DYNAMICS CORP	Industrials	Equity	"664,401,045.00"	0.15	"664,401,045.00"	"2,332,050.00"	284.9	United States	New York Stock Exchange Inc.	1	USD	-
PXD	PIONEER NATURAL RESOURCE	Energy	Equity	"660,276,354.40"	0.15	"660,276,354.40"	"2,399,696.00"	275.15	United States	New York Stock Exchange Inc.	1	USD	-
USB	US BANCORP	Financials	Equity	"655,558,767.61"	0.15	"655,558,767.61"	"15,993,139.00"	40.99	United States	New York Stock Exchange Inc.	1	USD	-
EMR	EMERSON ELECTRIC	Industrials	Equity	"643,608,792.80"	0.15	"643,608,792.80"	"5,872,343.00"	109.6	United States	New York Stock Exchange Inc.	1	USD	-
ORLY	OREILLY AUTOMOTIVE INC	Consumer Discretionary	Equity	"639,621,839.01"	0.15	"639,621,839.01"	"606,777.00"	"1,054.13"	United States	NASDAQ	1	USD	1-Jan-70
HCA	HCA HEALTHCARE INC	Health Care	Equity	"639,077,140.00"	0.15	"639,077,140.00"	"2,034,500.00"	314.12	United States	New York Stock Exchange Inc.	1	USD	-
PNC	PNC FINANCIAL SERVICES GROUP INC	Financials	Equity	"639,020,046.00"	0.15	"639,020,046.00"	"4,088,420.00"	156.3	United States	New York Stock Exchange Inc.	1	USD	-
